sline,eline,sstop,estop,count,slon,slat,elon,elat
10号线,10号线,新天地,上海图书馆,11,121.47075586345952,31.218294750858874,121.43975165303726,31.209966368989658
10号线,10号线,南京东路,五角场,25,121.47924428412828,31.23911535220653,121.5102569388246,31.30010468797861
2号线,10号线,南京东路,五角场,11,121.47924428412828,31.23911535220653,121.5102569388246,31.30010468797861
10号线,10号线,同济大学,五角场,42,121.50206747269928,31.284577528844896,121.5102569388246,31.30010468797861
10号线,10号线,四川北路,五角场,12,121.47971268041323,31.253939587029944,121.5102569388246,31.30010468797861
10号线,10号线,国权路,五角场,12,121.50580660602509,31.291376267954487,121.5102569388246,31.30010468797861
10号线,10号线,豫园,五角场,19,121.48283033758119,31.23027093044076,121.5102569388246,31.30010468797861
10号线,10号线,邮电新村,五角场,15,121.489822152937,31.270522310162953,121.5102569388246,31.30010468797861
10号线,10号线,陕西南路,五角场,24,121.45564009860006,31.21922548450731,121.5102569388246,31.30010468797861
3号线,10号线,上海火车站,五角场,11,121.45134662497871,31.249252480810924,121.5102569388246,31.30010468797861
2号线,10号线,南京西路,五角场,11,121.45550746198595,31.23176643260941,121.5102569388246,31.30010468797861
8号线,10号线,四平路,五角场,20,121.49700435873925,31.276943044058065,121.5102569388246,31.30010468797861
8号线,10号线,西藏北路,五角场,11,121.46421788996359,31.26529116670204,121.5102569388246,31.30010468797861
10号线,10号线,南京东路,交通大学,11,121.47924428412828,31.23911535220653,121.42952631930164,31.20372474691698
10号线,10号线,新天地,交通大学,12,121.47075586345952,31.218294750858874,121.42952631930164,31.20372474691698
10号线,10号线,江湾体育场,交通大学,11,121.50969205437626,31.30504889283296,121.42952631930164,31.20372474691698
10号线,10号线,陕西南路,交通大学,17,121.45564009860006,31.21922548450731,121.42952631930164,31.20372474691698
2号线,10号线,虹桥火车站,交通大学,14,121.31698004097382,31.19592455947813,121.42952631930164,31.20372474691698
2号线,10号线,陆家嘴,交通大学,15,121.49794977948895,31.240191163422505,121.42952631930164,31.20372474691698
10号线,10号线,新天地,伊犁路,13,121.47075586345952,31.218294750858874,121.39940058732157,31.20097434412085
10号线,10号线,航中路,伊犁路,23,121.35034954165577,31.16735491029436,121.39940058732157,31.20097434412085
10号线,10号线,陕西南路,伊犁路,35,121.45564009860006,31.21922548450731,121.39940058732157,31.20097434412085
3号线,10号线,上海南站,伊犁路,15,121.42521918125507,31.15677611560311,121.39940058732157,31.20097434412085
2号线,10号线,徐泾东,伊犁路,14,121.29487927379664,31.19026886327993,121.39940058732157,31.20097434412085
2号线,10号线,虹桥2号航站楼,伊犁路,13,121.32172604372542,31.19659605124147,121.39940058732157,31.20097434412085
2号线,10号线,虹桥火车站,伊犁路,19,121.31698004097382,31.19592455947813,121.39940058732157,31.20097434412085
8号线,10号线,老西门,伊犁路,15,121.47931185443552,31.221073985044608,121.39940058732157,31.20097434412085
10号线,10号线,上海图书馆,南京东路,13,121.43975165303726,31.209966368989658,121.47924428412828,31.23911535220653
10号线,10号线,五角场,南京东路,17,121.5102569388246,31.30010468797861,121.47924428412828,31.23911535220653
10号线,10号线,交通大学,南京东路,17,121.42952631930164,31.20372474691698,121.47924428412828,31.23911535220653
10号线,10号线,同济大学,南京东路,21,121.50206747269928,31.284577528844896,121.47924428412828,31.23911535220653
10号线,10号线,四川北路,南京东路,15,121.47971268041323,31.253939587029944,121.47924428412828,31.23911535220653
10号线,10号线,国权路,南京东路,25,121.50580660602509,31.291376267954487,121.47924428412828,31.23911535220653
10号线,10号线,天潼路,南京东路,15,121.47767315290058,31.24647455877888,121.47924428412828,31.23911535220653
10号线,10号线,新天地,南京东路,13,121.47075586345952,31.218294750858874,121.47924428412828,31.23911535220653
10号线,10号线,江湾体育场,南京东路,18,121.50969205437626,31.30504889283296,121.47924428412828,31.23911535220653
10号线,10号线,航中路,南京东路,16,121.35034954165577,31.16735491029436,121.47924428412828,31.23911535220653
10号线,10号线,豫园,南京东路,18,121.48283033758119,31.23027093044076,121.47924428412828,31.23911535220653
10号线,2号线,豫园,南京东路,11,121.48283033758119,31.23027093044076,121.47924428412828,31.23911535220653
10号线,10号线,邮电新村,南京东路,15,121.489822152937,31.270522310162953,121.47924428412828,31.23911535220653
10号线,10号线,陕西南路,南京东路,19,121.45564009860006,31.21922548450731,121.47924428412828,31.23911535220653
10号线,10号线,龙柏新村,南京东路,17,121.36574151569107,31.179499867783807,121.47924428412828,31.23911535220653
11号线,2号线,桃浦新村,南京东路,11,121.34497865491224,31.283411144688834,121.47924428412828,31.23911535220653
2号线,2号线,江苏路,南京东路,19,121.4278857845281,31.221726714144122,121.47924428412828,31.23911535220653
2号线,10号线,龙阳路,南京东路,14,121.55315410718144,31.20524621882207,121.47924428412828,31.23911535220653
2号线,2号线,龙阳路,南京东路,40,121.55315410718144,31.20524621882207,121.47924428412828,31.23911535220653
1号线,2号线,人民广场,南京东路,14,121.47063544949978,31.234938109246567,121.47924428412828,31.23911535220653
1号线,2号线,彭浦新村,南京东路,13,121.44409222144392,31.308467802003857,121.47924428412828,31.23911535220653
1号线,2号线,徐家汇,南京东路,11,121.43372952077296,31.194665740632892,121.47924428412828,31.23911535220653
