本站编码,上次过站编号,车牌号码,slon,slat,elon,elat
111,112,275,124.4118480410001,43.10218694100007,124.43832295800007,43.13609680600007
113,112,19,124.6057803000001,43.30978915000003,124.43832295800007,43.13609680600007
114,112,17,124.5301573700001,43.23501883700004,124.43832295800007,43.13609680600007
121,112,136,124.83180625300008,43.479668133000075,124.43832295800007,43.13609680600007
122,112,45,125.1095093880001,43.68619200400008,124.43832295800007,43.13609680600007
131,112,394,125.3209912000001,43.7925926,124.43832295800007,43.13609680600007
132,112,114,125.40367465000008,43.832945650000056,124.43832295800007,43.13609680600007
133,112,11,125.45553092300008,43.94948199800007,124.43832295800007,43.13609680600007
134,112,4,125.39053413200008,44.01310719500003,124.43832295800007,43.13609680600007
255,112,1,127.27065426600007,42.30857574400005,124.43832295800007,43.13609680600007
311,112,13,125.44269073300006,43.88860573300008,124.43832295800007,43.13609680600007
312,112,15,125.64987923700005,43.968514371000026,124.43832295800007,43.13609680600007
313,112,4,125.8115129,43.9761267000001,124.43832295800007,43.13609680600007
321,112,22,126.4159946000001,43.8916856000001,124.43832295800007,43.13609680600007
411,112,16,125.25600753800006,43.98591059000006,124.43832295800007,43.13609680600007
412,112,4,125.17844416900004,43.930943366000065,124.43832295800007,43.13609680600007
511,112,1,125.30232206200003,43.98087807500008,124.43832295800007,43.13609680600007
513,112,1,125.12127130200008,44.41422188800004,124.43832295800007,43.13609680600007
522,112,3,125.0262523990001,44.84656761400004,124.43832295800007,43.13609680600007
523,112,2,124.73169542700009,45.09201422400008,124.43832295800007,43.13609680600007
524,112,2,124.5371307260001,45.27445964200007,124.43832295800007,43.13609680600007
591,112,1,124.96698765000008,45.42920945000003,124.43832295800007,43.13609680600007
594,112,7,124.8500190100001,45.09731913300004,124.43832295800007,43.13609680600007
611,112,12,126.11295746700011,45.11385153200007,124.43832295800007,43.13609680600007
613,112,1,125.91400405000002,44.839689650000025,124.43832295800007,43.13609680600007
621,112,3,125.65881252500003,44.53435361900006,124.43832295800007,43.13609680600007
622,112,1,125.41400851800006,44.12989938800007,124.43832295800007,43.13609680600007
717,112,42,125.14494475000004,43.86810495000003,124.43832295800007,43.13609680600007
111,113,28,124.4118480410001,43.10218694100007,124.6057803000001,43.30978915000003
